date,store_id,product_id,stock
2026-08-31,S001,P001,8
2026-08-31,S001,P002,45
2026-08-31,S001,P003,150
2026-08-31,S001,P004,26
2026-08-31,S001,P005,51
2026-08-31,S001,P006,69
2026-08-31,S001,P007,52
2026-08-31,S001,P008,23
2026-08-31,S001,P009,24
2026-08-31,S001,P010,41
2026-08-31,S001,P011,60
2026-08-31,S001,P012,56
2026-08-31,S001,P013,35
2026-08-31,S001,P014,44
2026-08-31,S001,P015,25
2026-08-31,S001,P016,22
2026-08-31,S001,P017,49
2026-08-31,S001,P018,78
2026-08-31,S001,P019,67
2026-08-31,S001,P020,61
2026-08-31,S002,P001,8
2026-08-31,S002,P002,45
2026-08-31,S002,P003,150
2026-08-31,S002,P004,74
2026-08-31,S002,P005,26
2026-08-31,S002,P006,71
2026-08-31,S002,P007,41
2026-08-31,S002,P008,43
2026-08-31,S002,P009,58
2026-08-31,S002,P010,20
2026-08-31,S002,P011,36
2026-08-31,S002,P012,75
2026-08-31,S002,P013,41
2026-08-31,S002,P014,39
2026-08-31,S002,P015,28
2026-08-31,S002,P016,78
2026-08-31,S002,P017,77
2026-08-31,S002,P018,28
2026-08-31,S002,P019,71
2026-08-31,S002,P020,63
2026-08-31,S003,P001,8
2026-08-31,S003,P002,45
2026-08-31,S003,P003,150
2026-08-31,S003,P004,79
2026-08-31,S003,P005,30
2026-08-31,S003,P006,42
2026-08-31,S003,P007,26
2026-08-31,S003,P008,43
2026-08-31,S003,P009,68
2026-08-31,S003,P010,68
2026-08-31,S003,P011,68
2026-08-31,S003,P012,71
2026-08-31,S003,P013,21
2026-08-31,S003,P014,55
2026-08-31,S003,P015,32
2026-08-31,S003,P016,65
2026-08-31,S003,P017,36
2026-08-31,S003,P018,32
2026-08-31,S003,P019,41
2026-08-31,S003,P020,45
