date,store_id,product_id,units_sold,revenue
2026-06-03,S001,P001,4,3596
2026-06-03,S001,P002,4,9996
2026-06-03,S001,P003,1,499
2026-06-03,S001,P004,5,7495
2026-06-03,S001,P005,2,3598
2026-06-03,S001,P006,2,4598
2026-06-03,S001,P007,2,3998
2026-06-03,S001,P008,3,8997
2026-06-03,S001,P009,1,799
2026-06-03,S001,P010,2,6998
2026-06-03,S001,P011,4,2796
2026-06-03,S001,P012,3,6597
2026-06-03,S001,P013,2,798
2026-06-03,S001,P014,4,2396
2026-06-03,S001,P015,2,10998
2026-06-03,S001,P016,2,2598
2026-06-03,S001,P017,3,2997
2026-06-03,S001,P018,5,5995
2026-06-03,S001,P019,2,2798
2026-06-03,S001,P020,1,1099
2026-06-03,S002,P001,2,1798
2026-06-03,S002,P002,4,9996
2026-06-03,S002,P003,1,499
2026-06-03,S002,P004,4,5996
2026-06-03,S002,P005,3,5397
2026-06-03,S002,P006,1,2299
2026-06-03,S002,P007,2,3998
2026-06-03,S002,P008,2,5998
2026-06-03,S002,P009,3,2397
2026-06-03,S002,P010,1,3499
2026-06-03,S002,P011,4,2796
2026-06-03,S002,P012,3,6597
2026-06-03,S002,P013,2,798
2026-06-03,S002,P014,4,2396
2026-06-03,S002,P015,1,5499
2026-06-03,S002,P016,2,2598
2026-06-03,S002,P017,4,3996
2026-06-03,S002,P018,4,4796
2026-06-03,S002,P019,2,2798
2026-06-03,S002,P020,2,2198
2026-06-03,S003,P001,4,3596
2026-06-03,S003,P002,2,4998
2026-06-03,S003,P003,1,499
2026-06-03,S003,P004,4,5996
2026-06-03,S003,P005,1,1799
2026-06-03,S003,P006,2,4598
2026-06-03,S003,P007,2,3998
2026-06-03,S003,P008,1,2999
2026-06-03,S003,P009,2,1598
2026-06-03,S003,P010,2,6998
2026-06-03,S003,P011,5,3495
2026-06-03,S003,P012,1,2199
2026-06-03,S003,P013,2,798
2026-06-03,S003,P014,5,2995
2026-06-03,S003,P015,1,5499
2026-06-03,S003,P016,3,3897
2026-06-03,S003,P017,2,1998
2026-06-03,S003,P018,3,3597
2026-06-03,S003,P019,1,1399
2026-06-03,S003,P020,2,2198
2026-06-04,S001,P001,3,2697
2026-06-04,S001,P002,3,7497
2026-06-04,S001,P003,0,0
2026-06-04,S001,P004,3,4497
2026-06-04,S001,P005,2,3598
2026-06-04,S001,P006,3,6897
2026-06-04,S001,P007,2,3998
2026-06-04,S001,P008,1,2999
2026-06-04,S001,P009,3,2397
2026-06-04,S001,P010,1,3499
2026-06-04,S001,P011,4,2796
2026-06-04,S001,P012,1,2199
2026-06-04,S001,P013,2,798
2026-06-04,S001,P014,2,1198
2026-06-04,S001,P015,1,5499
2026-06-04,S001,P016,2,2598
2026-06-04,S001,P017,3,2997
2026-06-04,S001,P018,4,4796
2026-06-04,S001,P019,1,1399
2026-06-04,S001,P020,2,2198
2026-06-04,S002,P001,4,3596
2026-06-04,S002,P002,4,9996
2026-06-04,S002,P003,0,0
2026-06-04,S002,P004,3,4497
2026-06-04,S002,P005,2,3598
2026-06-04,S002,P006,2,4598
2026-06-04,S002,P007,2,3998
2026-06-04,S002,P008,2,5998
2026-06-04,S002,P009,2,1598
2026-06-04,S002,P010,1,3499
2026-06-04,S002,P011,4,2796
2026-06-04,S002,P012,3,6597
2026-06-04,S002,P013,3,1197
2026-06-04,S002,P014,1,599
2026-06-04,S002,P015,1,5499
2026-06-04,S002,P016,3,3897
2026-06-04,S002,P017,4,3996
2026-06-04,S002,P018,3,3597
2026-06-04,S002,P019,2,2798
2026-06-04,S002,P020,2,2198
2026-06-04,S003,P001,2,1798
2026-06-04,S003,P002,3,7497
2026-06-04,S003,P003,0,0
2026-06-04,S003,P004,2,2998
2026-06-04,S003,P005,3,5397
2026-06-04,S003,P006,2,4598
2026-06-04,S003,P007,1,1999
2026-06-04,S003,P008,2,5998
2026-06-04,S003,P009,1,799
2026-06-04,S003,P010,2,6998
2026-06-04,S003,P011,4,2796
2026-06-04,S003,P012,2,4398
2026-06-04,S003,P013,3,1197
2026-06-04,S003,P014,2,1198
2026-06-04,S003,P015,1,5499
2026-06-04,S003,P016,2,2598
2026-06-04,S003,P017,2,1998
2026-06-04,S003,P018,4,4796
2026-06-04,S003,P019,1,1399
2026-06-04,S003,P020,2,2198
2026-06-05,S001,P001,3,2697
2026-06-05,S001,P002,4,9996
2026-06-05,S001,P003,0,0
2026-06-05,S001,P004,4,5996
2026-06-05,S001,P005,3,5397
2026-06-05,S001,P006,1,2299
2026-06-05,S001,P007,2,3998
2026-06-05,S001,P008,1,2999
2026-06-05,S001,P009,2,1598
2026-06-05,S001,P010,1,3499
2026-06-05,S001,P011,4,2796
2026-06-05,S001,P012,2,4398
2026-06-05,S001,P013,3,1197
2026-06-05,S001,P014,2,1198
2026-06-05,S001,P015,1,5499
2026-06-05,S001,P016,3,3897
2026-06-05,S001,P017,3,2997
2026-06-05,S001,P018,3,3597
2026-06-05,S001,P019,2,2798
2026-06-05,S001,P020,2,2198
2026-06-05,S002,P001,4,3596
2026-06-05,S002,P002,2,4998
2026-06-05,S002,P003,0,0
2026-06-05,S002,P004,2,2998
2026-06-05,S002,P005,1,1799
2026-06-05,S002,P006,3,6897
2026-06-05,S002,P007,2,3998
2026-06-05,S002,P008,3,8997
2026-06-05,S002,P009,2,1598
2026-06-05,S002,P010,2,6998
2026-06-05,S002,P011,2,1398
2026-06-05,S002,P012,2,4398
2026-06-05,S002,P013,3,1197
2026-06-05,S002,P014,3,1797
2026-06-05,S002,P015,1,5499
2026-06-05,S002,P016,2,2598
2026-06-05,S002,P017,2,1998
2026-06-05,S002,P018,2,2398
2026-06-05,S002,P019,1,1399
2026-06-05,S002,P020,2,2198
2026-06-05,S003,P001,3,2697
2026-06-05,S003,P002,3,7497
2026-06-05,S003,P003,0,0
2026-06-05,S003,P004,4,5996
2026-06-05,S003,P005,3,5397
2026-06-05,S003,P006,1,2299
2026-06-05,S003,P007,2,3998
2026-06-05,S003,P008,1,2999
2026-06-05,S003,P009,3,2397
2026-06-05,S003,P010,2,6998
2026-06-05,S003,P011,2,1398
2026-06-05,S003,P012,1,2199
2026-06-05,S003,P013,2,798
2026-06-05,S003,P014,4,2396
2026-06-05,S003,P015,1,5499
2026-06-05,S003,P016,2,2598
2026-06-05,S003,P017,2,1998
2026-06-05,S003,P018,2,2398
2026-06-05,S003,P019,2,2798
2026-06-05,S003,P020,2,2198
2026-06-06,S001,P001,4,3596
2026-06-06,S001,P002,2,4998
2026-06-06,S001,P003,0,0
2026-06-06,S001,P004,3,4497
2026-06-06,S001,P005,4,7196
2026-06-06,S001,P006,2,4598
2026-06-06,S001,P007,2,3998
2026-06-06,S001,P008,3,8997
2026-06-06,S001,P009,4,3196
2026-06-06,S001,P010,1,3499
2026-06-06,S001,P011,2,1398
2026-06-06,S001,P012,1,2199
2026-06-06,S001,P013,2,798
2026-06-06,S001,P014,4,2396
2026-06-06,S001,P015,1,5499
2026-06-06,S001,P016,3,3897
2026-06-06,S001,P017,3,2997
2026-06-06,S001,P018,2,2398
2026-06-06,S001,P019,1,1399
2026-06-06,S001,P020,2,2198
2026-06-06,S002,P001,5,4495
2026-06-06,S002,P002,4,9996
2026-06-06,S002,P003,0,0
2026-06-06,S002,P004,4,5996
2026-06-06,S002,P005,3,5397
2026-06-06,S002,P006,2,4598
